file,segment,start,end,duration_s,forced_cut
1.mp3,1,0:00.00,0:22.93,22.93,False
1.mp3,2,0:22.93,0:47.17,24.24,False
1.mp3,3,0:47.17,1:05.05,17.88,False
10.mp3,1,0:00.00,0:22.23,22.23,False
10.mp3,2,0:22.23,0:47.02,24.79,False
10.mp3,3,0:47.02,1:00.59,13.56,False
11.mp3,1,0:00.00,0:23.70,23.7,False
11.mp3,2,0:23.70,0:46.70,23.0,False
11.mp3,3,0:46.70,1:06.00,19.3,False
12.mp3,1,0:00.00,0:22.93,22.93,False
12.mp3,2,0:22.93,0:47.62,24.69,False
12.mp3,3,0:47.62,1:08.99,21.37,False
12.mp3,4,1:08.99,1:15.04,6.05,False
13.mp3,1,0:00.00,0:23.05,23.05,False
13.mp3,2,0:23.05,0:44.20,21.16,False
14.mp3,1,0:00.00,0:24.12,24.12,False
14.mp3,2,0:24.12,0:48.17,24.05,False
14.mp3,3,0:48.17,0:56.22,8.04,False
15.mp3,1,0:00.00,0:23.28,23.28,False
15.mp3,2,0:23.28,0:38.23,14.95,False
16.mp3,1,0:00.00,0:24.95,24.95,False
16.mp3,2,0:24.95,0:48.43,23.48,False
16.mp3,3,0:48.43,0:56.94,8.51,False
17.mp3,1,0:00.00,0:23.82,23.82,False
17.mp3,2,0:23.82,0:40.89,17.07,False
18.mp3,1,0:00.00,0:24.65,24.65,False
18.mp3,2,0:24.65,0:46.03,21.38,False
18.mp3,3,0:46.03,0:50.87,4.84,False
19.mp3,1,0:00.00,0:23.03,23.03,False
19.mp3,2,0:23.03,0:47.84,24.82,False
19.mp3,3,0:47.84,0:53.34,5.5,False
2.mp3,1,0:00.00,0:24.32,24.32,False
2.mp3,2,0:24.32,0:31.02,6.71,False
20.mp3,1,0:00.00,0:23.71,23.71,False
20.mp3,2,0:23.71,0:48.64,24.93,False
20.mp3,3,0:48.64,1:11.73,23.09,False
20.mp3,4,1:11.73,1:18.34,6.61,False
21.mp3,1,0:00.00,0:23.66,23.66,False
21.mp3,2,0:23.66,0:45.23,21.57,False
21.mp3,3,0:45.23,0:49.96,4.73,False
22.mp3,1,0:00.00,0:22.66,22.66,False
22.mp3,2,0:22.66,0:45.50,22.84,False
22.mp3,3,0:45.50,1:08.68,23.18,False
22.mp3,4,1:08.68,1:32.20,23.52,False
23.mp3,1,0:00.00,0:19.97,19.97,False
23.mp3,2,0:19.97,0:44.80,24.83,False
23.mp3,3,0:44.80,1:07.11,22.31,False
24.mp3,1,0:00.00,0:23.43,23.43,False
24.mp3,2,0:23.43,0:47.84,24.41,False
24.mp3,3,0:47.84,1:11.26,23.43,False
25.mp3,1,0:00.00,0:22.65,22.65,False
25.mp3,2,0:22.65,0:44.29,21.64,False
25.mp3,3,0:44.29,1:06.00,21.7,False
25.mp3,4,1:06.00,1:18.39,12.39,False
26.mp3,1,0:00.00,0:22.68,22.68,False
26.mp3,2,0:22.68,0:44.98,22.3,False
26.mp3,3,0:44.98,0:48.17,3.2,False
27.mp3,1,0:00.00,0:23.82,23.82,False
27.mp3,2,0:23.82,0:26.22,2.4,False
28.mp3,1,0:00.00,0:22.36,22.36,False
28.mp3,2,0:22.36,0:29.88,7.52,False
29.mp3,1,0:00.00,0:24.96,24.96,False
29.mp3,2,0:24.96,0:47.46,22.5,False
3.mp3,1,0:00.00,0:24.59,24.59,False
3.mp3,2,0:24.59,0:29.05,4.46,False
30.mp3,1,0:00.00,0:22.95,22.95,False
30.mp3,2,0:22.95,0:31.82,8.87,False
31.mp3,1,0:00.00,0:24.96,24.96,False
