index,text,kata_kunci_ditemukan
120681,"Yewe hale'-hale'e irita lalengna foto yero nafengre'e Annisa, sibawa Ani, Benena Agus yero tampil i fake kaing batik cello cella' sibawa kebaja' fute wettunna hadere' upacara pengre' bendera esso kemerdekaan RI beberapa taung laloe. Sayangna, yewe taungnge irayakan Alleppereng sumpulolo SBY silengengni dessa gaga Ani. Makkungrai aseng aslinna Kristiani yero tutu' umuru' furana iteppu malasa kanker darah.",kristiani
56065,"Namu Gareja Katolik mappunnai seddi doktring pura idefinisikang secara dogmatis ri dosa assaleng, naekiyya de naripannessa passaleng nasi’na ana’lolo-ana’loloe iyya depa ibaptis; para teolo’ yaleng abebasakeng untu’ musulkangngi maega teori sihubunganna iyyae passalengnge, magisterium Gereja bebasa’to untu’ matterima iyyare’ga tola’i.","gareja, gereja"
13763,"Kuburu tuhan Yesus Kristus sedang dibukka. Untu' pertamakalinya eddi mancaji di Yerusalem ketika mereka meluncurkan marmer kuburu tuhan Yesus. Saddang sangkakala diangkalinga na ellung mabbentu lingkaran. Puji tuhan, fenomena yang dena naulle dijelaskang ancaji esso eddu di Israel, like pelik tafi tuju.",yesus
14166,"SELASA RIAU, PEKANBARU - Melona siolong Sang Khalik Maha Pencipta, Kristiani Herawati Yudhoyono iyaregga irisseng Ani Yudhoyono, nasalei fappaseng secara husus lao kader sibawa fangurusu'na Partai Demokrat yero alena fatettongngi sibawa nafaloppoi. Farellong faccappurengna Ani Yudhoyono yero mabbentu' fappaseng nafalettu' akki Kepala Divisi Komunikasi DPP Demokrat, Imelda Sari lalo pesang fonco' akki megae grup WhatsApp fangurusu' DPP Demokrat.",kristiani
31779,"Untu nabaliwi iyyae pakkutana'e, tau sarjan'e parellu makkutanangngi niga mokii Injil'e, uppanna mennang maroki, aga akkattana mennang ri laleng maroki'i, aga sumber-sumber assalengna iyya'e tau paroki'e, agana wedding ritariima sumber-sumber iyyae assaleng'e, sibawa agana jampana assaleng'e wettuna pole ri sumber assaleng pole ri curita-curita alena, iyarega agana purai ripinra'i.",injil
122442,"Purana yamaneng pemimpin keagamaan, politik,sibawa sosial mattama Kristen, cumpai tanggapan matedde pole maega tau, iyae makkibbu Ranavalona mancaji tappede mengkhawatirkan dampak Kekristenan terhadap politik sibawa budaya Madagaskar, sibawa alena tona merasa makkeda agama iyero makkibbu rakyat Madagaskar berpaling pole nenek moyang sibawa tradisi iyero.",kristen
2226,"Nasaba’ pemilihan umung berlangsung laleng rentang wettu seddi iyyare’ga duwangngesso secara berkala, madari taungeng iyyare’ga lebbi, onrong pemungutang suarae biasanna monro ri fasilitas iyya ipake untu’ parellu laingnge, bansana sikola, gareja, onrong olaraga, kantoro’ pamarenta, iyyare’ga onrong monro peribadi.",gareja
22452,"Pembantaian iyae mammulanna iyami menyerang tau Armenia sibawa riserukan okko politikus sibawa ulama Utsmaniyah iyae mengklaim makkeda tau Armenia meloi membubarkan negara mereka, tetapi pembantaian iyae matteruna berubah mancaji pembantaian anti-Kristen wettue yamaneng penjagal mammula mattamaki Vilayet Diyarbekir sibawa wilayah Tur Abdin iyae rionroi okko tau-tau Kristen Asiria.",kristen
92408,"Cardinal Dias yanaritu seddi anggota pole Kongregasi Doktrin Kepercayaan, Kongregasi Penyembahan Ilahi sibawa Murid Sakramen, Kongregasi Gereja-Gereja Oriental, Kongregasi Pendidikan Katolik, Dewan Kepausan untu' Kebudayaan, Dewan Kepausan untuk Kaum Awam, Dewan Kepausan untuk Mempromosikan Persatuan Kristen, Dewan Kepausan untu' Dialog Antar-Agama, Dewan Kepausan untu' Komunikasi Sosial, Komisi Kepausan untu' Warisan Kebudayaan Gereja sibawa Dewan Kepausan untu' Teks-Teks Legislatif.","kristen, gereja"
15760,"Papile Cerasi ku uluna Pengangkatan Tubuh iyya yita manessa, naiyya uluna Santo Paulus na Santo Petrus iyyanaritu untu' makkai dua Rasul iyya punnai akkeguna parellu lanre ku lalengna Gereja Katolik Roma, padae iyyato mega missengi mancaji uluna kedonge kontra-reformasi iyya asilaingena iman na kemartiran.",gereja
