paragraph_id,source_index,sentence_index,text,file_stem
paragraph_001,120681,1,"Yewe hale'-hale'e irita lalengna foto yero nafengre'e Annisa, sibawa Ani, Benena Agus yero tampil i fake kaing batik cello cella' sibawa kebaja' fute wettunna hadere' upacara pengre' bendera esso kemerdekaan RI beberapa taung laloe.",paragraph_001_sent01
paragraph_001,120681,2,"Sayangna, yewe taungnge irayakan Alleppereng sumpulolo SBY silengengni dessa gaga Ani.",paragraph_001_sent02
paragraph_001,120681,3,Makkungrai aseng aslinna Kristiani yero tutu' umuru' furana iteppu malasa kanker darah.,paragraph_001_sent03
paragraph_002,56065,1,"Namu Gareja Katolik mappunnai seddi doktring pura idefinisikang secara dogmatis ri dosa assaleng, naekiyya de naripannessa passaleng nasi’na ana’lolo-ana’loloe iyya depa ibaptis; para teolo’ yaleng abebasakeng untu’ musulkangngi maega teori sihubunganna iyyae passalengnge, magisterium Gereja bebasa’to untu’ matterima iyyare’ga tola’i.",paragraph_002_sent01
paragraph_003,13763,1,Kuburu tuhan Yesus Kristus sedang dibukka.,paragraph_003_sent01
paragraph_003,13763,2,Untu' pertamakalinya eddi mancaji di Yerusalem ketika mereka meluncurkan marmer kuburu tuhan Yesus.,paragraph_003_sent02
paragraph_003,13763,3,Saddang sangkakala diangkalinga na ellung mabbentu lingkaran.,paragraph_003_sent03
paragraph_003,13763,4,"Puji tuhan, fenomena yang dena naulle dijelaskang ancaji esso eddu di Israel, like pelik tafi tuju.",paragraph_003_sent04
paragraph_004,14166,1,"Melona siolong Sang Khalik Maha Pencipta, Kristiani Herawati Yudhoyono iyaregga irisseng Ani Yudhoyono, nasalei fappaseng secara husus lao kader sibawa fangurusu'na Partai Demokrat yero alena fatettongngi sibawa nafaloppoi.",paragraph_004_sent01
paragraph_004,14166,2,"Farellong faccappurengna Ani Yudhoyono yero mabbentu' fappaseng nafalettu' akki Kepala Divisi Komunikasi DPP Demokrat, Imelda Sari lalo pesang fonco' akki megae grup WhatsApp fangurusu' DPP Demokrat.",paragraph_004_sent02
paragraph_005,31779,1,"Untu nabaliwi iyyae pakkutana'e, tau sarjan'e parellu makkutanangngi niga mokii Injil'e, uppanna mennang maroki, aga akkattana mennang ri laleng maroki'i, aga sumber-sumber assalengna iyya'e tau paroki'e, agana wedding ritariima sumber-sumber iyyae assaleng'e, sibawa agana jampana assaleng'e wettuna pole ri sumber assaleng pole ri curita-curita alena, iyarega agana purai ripinra'i.",paragraph_005_sent01
paragraph_006,122442,1,"Purana yamaneng pemimpin keagamaan, politik,sibawa sosial mattama Kristen, cumpai tanggapan matedde pole maega tau, iyae makkibbu Ranavalona mancaji tappede mengkhawatirkan dampak Kekristenan terhadap politik sibawa budaya Madagaskar, sibawa alena tona merasa makkeda agama iyero makkibbu rakyat Madagaskar berpaling pole nenek moyang sibawa tradisi iyero.",paragraph_006_sent01
paragraph_007,2226,1,"Nasaba’ pemilihan umung berlangsung laleng rentang wettu seddi iyyare’ga duwangngesso secara berkala, madari taungeng iyyare’ga lebbi, onrong pemungutang suarae biasanna monro ri fasilitas iyya ipake untu’ parellu laingnge, bansana sikola, gareja, onrong olaraga, kantoro’ pamarenta, iyyare’ga onrong monro peribadi.",paragraph_007_sent01
paragraph_008,22452,1,"Pembantaian iyae mammulanna iyami menyerang tau Armenia sibawa riserukan okko politikus sibawa ulama Utsmaniyah iyae mengklaim makkeda tau Armenia meloi membubarkan negara mereka, tetapi pembantaian iyae matteruna berubah mancaji pembantaian anti-Kristen wettue yamaneng penjagal mammula mattamaki Vilayet Diyarbekir sibawa wilayah Tur Abdin iyae rionroi okko tau-tau Kristen Asiria.",paragraph_008_sent01
paragraph_009,92408,1,"Cardinal Dias yanaritu seddi anggota pole Kongregasi Doktrin Kepercayaan, Kongregasi Penyembahan Ilahi sibawa Murid Sakramen, Kongregasi Gereja-Gereja Oriental, Kongregasi Pendidikan Katolik, Dewan Kepausan untu' Kebudayaan, Dewan Kepausan untuk Kaum Awam, Dewan Kepausan untuk Mempromosikan Persatuan Kristen, Dewan Kepausan untu' Dialog Antar-Agama, Dewan Kepausan untu' Komunikasi Sosial, Komisi Kepausan untu' Warisan Kebudayaan Gereja sibawa Dewan Kepausan untu' Teks-Teks Legislatif.",paragraph_009_sent01
paragraph_010,15760,1,"Papile Cerasi ku uluna Pengangkatan Tubuh iyya yita manessa, naiyya uluna Santo Paulus na Santo Petrus iyyanaritu untu' makkai dua Rasul iyya punnai akkeguna parellu lanre ku lalengna Gereja Katolik Roma, padae iyyato mega missengi mancaji uluna kedonge kontra-reformasi iyya asilaingena iman na kemartiran.",paragraph_010_sent01
paragraph_011,13038,1,"Ku manessae, tabel-tabel kanon, naiyya gambara-gambara paroki Injil, parellu lanre laleng studi alopponge oki naskah ku periode Abad Patengang Pamulang, ku tegi iyyami cedde naskah iyya ipatahangi, na naskah iyya lebbi riolo matama' lebbi cedde gambara' naiyya naskah pole periode matuna.",paragraph_011_sent01
paragraph_012,120746,1,"Narekko provinsi iye miskin sibawa idi materru runtui stigma majae, padae bawang hinaan ero rituju lao ri Tuhan.",paragraph_012_sent01
paragraph_012,120746,2,"ero battuangna idi mebbere beban Tuhan, tandasna.",paragraph_012_sent02
paragraph_012,120746,3,Laonimai idi mengurangngi beban Tuhan sibawa najamai potensi iyae riwerengngi Tuhan lao ri idi sibawa madeceng.,paragraph_012_sent03
paragraph_012,120746,4,"Minimal idi dek paimeng riteppu sebagai provinsi miskin, provinsi macarepa, nasaba memang gereja sibawa pamarentah sama-sama majjama sibawa untu naatasi, tutupna.",paragraph_012_sent04
paragraph_013,105289,1,"Nazaret, kotaNazareth, kota onrong Yesus atau Nabi Isa Almasih nacappuri masa ana-ana, taung eddi merayakang Natal.",paragraph_013_sent01
paragraph_013,105289,2,"Wali Kota Nazareth Ali Salam, nabatalkang seluruh rangkaian Perayaang Natal, sebagai protes atau keputusang Presideng Amerika serikat Donald Trump yang manggaku Yerusalem sebagai Ibu Kota Israel.",paragraph_013_sent02
paragraph_013,105289,3,"Kota aro elo mafatuo Pohon Natal, tafi dena menggelar perayaan apapun.",paragraph_013_sent03
paragraph_014,38415,1,Alena lao sibawa siare surona gereja'e nennia ade'e untu' mappasadia surona Papua iyae matu engka ri upacara penobatanna Jokowi.,paragraph_014_sent01
paragraph_014,38415,2,"Nasaba' sukkuru'i nasaba' naalle Jokowi, naissenni alena waji'i massempajang lao ri Jokowi mancaji presiden terpilih narimakkuannanaro naullei pimpingngi Indonesia sibawa madeceng, naiyya nabarakkakiwi Jokowi.",paragraph_014_sent02
paragraph_015,10418,1,"Ri lalenna iyyaro bobbo’ e, engka paragraph iyya nateppui makkeda sila pammulanna Pancasila iyanaritu Ketuhanan Yang Maha Esa nennia rilambangkang i sibawa sewwa biccuing ulaweng massudu’ lima.",paragraph_015_sent01
paragraph_015,10418,2,"Iyyae sila e nabettuangi agama-agama maraja e ri Indonesia, iyanaritu Islam, Kristen, Buddha, Hindu, sibawa Ideologi Sekuler Sosialisme.",paragraph_015_sent02
paragraph_016,83331,1,"Kanon Katolik Roma sibawa Gereja-gereja Timur nacakup kitab-kitab yaro laesebbu deuterokanonika, yaro kega kewibawaanna laetentang okko Akiba ben Yusuf silaleng na perkembangan kanon Ibrani okko abad pertama; namo rekeng Akiba meto de' na natentang lae pake na pribadi kitab-kitab yaro sebagaimana alena meto biasa napake Kitab Sirakh.",paragraph_016_sent01
